lon,lat,R,Time,L0,lonC,X,Y,Z,T
-28.5569,7.00271,1.11025,08:10:05,190.8224,162.26549999999997,-1.0496005051565467,0.33566675888789166,0.13535756001354268,8.166666666666666
-29.1076,4.33277,1.23868,08:15:05,190.77662,161.66902000000002,-1.1724634771574556,0.3884586407906866,0.09358109599112976,8.25
-28.3269,4.00185,1.27955,08:15:05,190.77662,162.44972,-1.2170158168760563,0.38489810534166063,0.08929811015864313,8.25
-29.488,3.72753,1.26361,08:20:05,190.73084,161.24284,-1.193968414093643,0.405464067886907,0.08214954594708779,8.333333333333334
-29.1863,4.15029,1.2816,08:25:05,190.68507,161.49877,-1.2121757516394722,0.405617268880982,0.09275310411417081,8.416666666666666
-28.0727,2.06868,1.42533,08:30:05,190.63929,162.56659,-1.3589723408161392,0.4267465356072415,0.05145075455152077,8.5
-28.0303,2.77705,1.47275,08:30:05,190.63929,162.60898999999998,-1.4037760304738718,0.4396748629852573,0.07135428246373768,8.5
-26.5804,1.59461,1.4562,08:30:05,190.63929,164.05889,-1.3996588478674987,0.3997892847453928,0.04052255407786112,8.5
-27.3973,2.27904,1.63061,08:40:05,190.54774,163.15044,-1.559372070831158,0.47227435621181113,0.06484326700949865,8.666666666666666
-27.3092,1.30653,1.66223,08:45:05,190.50196,163.19276,-1.5908107756705308,0.4805134399814145,0.03790096183150093,8.75
-30.7766,3.26787,1.6432,08:50:05,190.45619,159.67959,-1.538430268883916,0.5697057292166275,0.09366925792122202,8.833333333333334
-29.4864,2.1148,1.65599,08:50:05,190.45619,160.96979,-1.5644185610772376,0.5395953353098051,0.06110908254035746,8.833333333333334
-30.5658,4.72984,1.75819,09:00:05,190.36464,159.79884,-1.644417683932723,0.605065701789944,0.14497604418241347,9.0
-31.4174,5.33002,1.76933,09:00:05,190.36464,158.94724000000002,-1.644087644683735,0.6328437472448903,0.16435710228442893,9.0
-30.4271,5.60403,1.74344,09:00:05,190.36464,159.93754,-1.6298196155773832,0.5952187160724107,0.17025197301735434,9.0
-31.4682,5.06576,1.79202,09:05:05,190.31886,158.85066,-1.6647870910533773,0.6440355050401777,0.15823365669059603,9.083333333333334
-32.1203,11.0473,2.11379,09:30:05,190.08998,157.96967999999998,-1.9231426830385303,0.7781841550883549,0.4050429675291089,9.5
-31.7455,14.9703,2.12351,09:45:05,189.95265,158.20715,-1.904825950355027,0.7616003053093864,0.5485415152080253,9.75
-29.8528,14.8778,2.25743,09:50:05,189.90687,160.05407,-2.0508786830976535,0.7442677408506022,0.5796139767507114,9.833333333333334
